Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
"Before leaving the port, you find the container door slightly misaligned.",Record the door condition in the gate pass.,Proceed since it can still be locked.,Deliver first and update later.,Ignore if seal is intact.,A,Record any container door defect in the gate pass before exit.,0.5,0,0.5,"Sebelum meninggalkan pelabuhan, anda mendapati pintu kontena sedikit tidak sejajar.",Rekodkan keadaan pintu pada gate pass.,Teruskan perjalanan kerana pintu masih boleh dikunci.,Hantar dahulu dan kemas kini kemudian.,Abaikan keadaan jika seal masih baik.,Rekodkan sebarang kecacatan pintu kontena pada gate pass sebelum keluar.,6
You notice damage on the container but are unsure whether the cargo inside is affected.,Inform operations and wait for instruction.,Proceed if the seal is intact.,Deliver first and inspect at destination.,Continue if external damage appears minor.,A,Report uncertain damage before moving the container.,0.5,0,0.5,Anda mendapati terdapat kerosakan pada kontena dan tidak pasti sama ada muatan di dalamnya terjejas.,Maklumkan bahagian operasi dan tunggu arahan lanjut.,Teruskan perjalanan jika seal masih utuh.,Hantar dahulu dan periksa di lokasi penghantaran.,Teruskan perjalanan jika kerosakan luar kelihatan kecil.,Laporkan kerosakan yang tidak pasti sebelum menggerakkan kontena.,6
"During a delivery, a customer raises their voice and provokes you.",Respond firmly to defend your position.,Avoid confrontation and report to operations.,Leave the site immediately without informing anyone.,Continue arguing until the issue is resolved.,B,Do not engage in confrontation; report the matter to operations.,0,0,1,"Semasa membuat penghantaran, seorang pelanggan meninggikan suara dan memprovokasi anda.",Bertindak balas dengan tegas untuk mempertahankan diri.,Elakkan pertelingkahan dan laporkan kepada bahagian operasi.,Tinggalkan tapak serta-merta tanpa memaklumkan kepada sesiapa.,Terus berdebat sehingga isu selesai.,Elakkan pertelingkahan dan laporkan perkara tersebut kepada bahagian operasi.,6
"After a collision, the third party offers to settle repair costs privately.",Accept the offer to avoid paperwork.,Inform operations and wait for instruction.,Negotiate and settle on the spot.,Accept payment and continue duty.,B,Do not agree to private settlements without company instruction.,0.5,0,0.5,"Selepas pelanggaran, pihak ketiga menawarkan untuk menyelesaikan kos pembaikan secara persendirian.",Terima tawaran untuk mengelakkan urusan dokumentasi.,Maklumkan bahagian operasi dan tunggu arahan selanjutnya.,Berunding dan selesaikan di tempat kejadian.,Terima bayaran dan teruskan tugas.,Jangan bersetuju dengan penyelesaian persendirian tanpa arahan syarikat.,6
Your vehicle is carrying chemical cargo and is involved in an accident.,Inform operations of the cargo type and any hazard risk.,Report the vehicle damage.,Wait for emergency responders to identify the cargo.,Mention cargo details when asked.,A,Communicate cargo hazards immediately during an accident.,0.5,0,0.5,Kenderaan anda membawa muatan bahan kimia dan terlibat dalam kemalangan.,Maklumkan kepada bahagian operasi jenis muatan dan sebarang risiko bahaya.,Laporkan kerosakan kenderaan.,Tunggu pasukan kecemasan mengenal pasti jenis muatan.,Nyatakan butiran muatan bila ditanya.,Maklumkan risiko bahaya muatan dengan segera semasa kemalangan.,6
You drive at cruising speed. Vehicles ahead brake intermittently and motorcycles filter between lanes.,Increase following distance for sudden slowing,Maintain distance and brake if traffic slows,Move closer to match the pace ahead,Change lanes to avoid unpredictable movement,A,Extra space gives more time to respond to hazards ahead.,0.75,0.25,,Anda memandu pada kelajuan tetap. Kenderaan di hadapan membrek dan motosikal bergerak di antara lorong.,Tambah jarak kenderaan untuk lebih bersedia,Kekalkan jarak dan brek jika trafik perlahan,Bergerak lebih dekat untuk ikut kelajuan di hadapan,Tukar lorong untuk elakkan pergerakan tidak menentu,Ruang tambahan memberi lebih masa untuk bertindak terhadap bahaya di hadapan.,7
You drive at night in heavy rain. Spray from vehicles ahead reduces visibility.,Increase following distance for more reaction time,Maintain distance since traffic speed is steady,Close the gap to keep sight of the vehicle ahead,Keep the same distance and react if traffic slows,A,Increase spacing in poor visibility to manage sudden slowing safely.,0.75,0.25,,Anda memandu pada waktu malam dalam keadaan hujan lebat. Percikan air dari kenderaan di hadapan mengurangkan pandangan.,Tambah jarak kenderaan untuk lebih masa bertindak,Kekalkan jarak kerana kelajuan trafik stabil,Rapatkan jarak untuk mengekalkan pandangan kenderaan di hadapan,Kekalkan jarak dan bertindak jika trafik perlahan,Tingkatkan jarak antara kenderaan ketika penglihatan terhad bagi menangani tindakan brek mengejut dengan selamat.,7
You are inside a container terminal where RTGs operate across marked lanes with clear zones.,Remain outside the clear zone until access is given,Move along the lane edge while staying alert,Advance slowly when the RTG appears to reposition,Follow the vehicle ahead past the RTG,A,Respect clear zones and wait for safe access near lifting equipment.,0.75,0.25,,Anda berada di dalam terminal kontena di mana RTG beroperasi merentasi lorong bertanda dengan zon larangan.,Kekal di luar zon larangan sehingga laluan dibenarkan,Bergerak di tepi lorong sambil kekal peka,Bergerak perlahan apabila RTG kelihatan beralih,Ikut kenderaan di hadapan melepasi RTG,Hormati zon larangan dan tunggu laluan selamat berhampiran jentera angkat.,7
"Inside a site yard, you merge into an internal lane while equipment operates nearby.",Wait for a clear gap with safe equipment clearance,Merge when a small gap appears to maintain flow,Move forward gradually to secure space,Follow the vehicle ahead into the lane,A,Choose a clear gap and keep safe distance from operating equipment.,1,,,"Di dalam kawasan tapak, anda perlu masuk ke lorong dalaman sementara jentera beroperasi berhampiran.",Tunggu ruang jelas dengan jarak selamat daripada jentera,Masuk apabila terdapat ruang kecil untuk kekalkan aliran trafik,Bergerak ke hadapan secara beransur untuk mendapatkan ruang,Ikut kenderaan di hadapan masuk ke lorong,Tunggu ruang yang jelas dan kekalkan jarak selamat dari jentera beroperasi.,7
You approach an area where containers are being lifted and repositioned. Equipment movement is ongoing.,Stop outside the lifting zone until operations are complete,Proceed slowly while monitoring the lifting activity,Continue moving and adjust if equipment comes closer,Follow another vehicle that enters the zone,A,Keep clear of active lifting zones.,,0.5,0.5,Anda menghampiri kawasan di mana kontena sedang dialihkan. Jentera masih beroperasi.,Berhenti di luar zon pengangkatan sehingga operasi selesai,Terus bergerak perlahan sambil memantau aktiviti pengangkatan,Terus bergerak dan sesuaikan kedudukan jika jentera menghampiri,Ikut kenderaan lain yang memasuki zon tersebut,Jauhi zon pengangkatan yang sedang aktif.,7
"After a delivery, you park in a designated area where idling is prohibited.",Switch off the engine and follow the parking procedure,Leave the engine running briefly to save time,Complete the procedure and address the engine later,Wait in the vehicle with the engine on,A,Follow procedures and switch off the engine where idling is prohibited.,0.25,0.75,,"Selepas penghantaran, anda parkir di kawasan yang ditetapkan di mana enjin tidak dibenarkan hidup.",Matikan enjin dan ikut prosedur parkir,Biarkan enjin hidup seketika untuk menjimatkan masa,Lengkapkan prosedur dahulu dan matikan enjin kemudian,Tunggu di dalam kenderaan dengan enjin masih hidup,Ikut prosedur dan matikan enjin di kawasan yang melarang melahu enjin.,7
"While driving inside a site with pedestrians and equipment moving nearby, your phone receives a message.",Ignore the message and maintain full attention,Check the message briefly since speed is low,Slow down and glance when the area looks clear,Respond quickly.,A,Avoid distractions in mixed-movement areas.,0.75,0.25,,"Semasa memandu di dalam tapak dengan pekerja dan jentera bergerak berhampiran, telefon anda menerima mesej.",Abaikan mesej dan kekalkan tumpuan penuh,Periksa mesej seketika kerana kelajuan rendah,Perlahankan dan lihat mesej apabila kawasan kelihatan selamat,Balas mesej dengan cepat.,Elakkan gangguan di kawasan pergerakan bercampur.,7
"After a pre-trip inspection, you notice a twist lock is not fully secured though the container appears stable.",Secure the twist lock before departing,Start the trip but drive carefully,Proceed since the container appears stable,Monitor the load and act if it shifts,A,Correct load security issues before moving.,0.5,0.5,,"Selepas pemeriksaan sebelum perjalanan, anda mendapati twist lock tidak dikunci sepenuhnya walaupun kontena kelihatan stabil.",Pastikan twist lock dikunci dengan betul sebelum bergerak,Mulakan perjalanan tetapi memandu dengan berhati-hati,Teruskan kerana kontena kelihatan stabil,Pantau muatan semasa perjalanan dan bertindak jika ia bergerak,Pastikan keselamatan muatan disahkan sebelum bergerak.,7
"During a slow loading manoeuvre in a confined space, a nearby worker offers guidance.",Pause and coordinate clearly with the worker before continuing,Continue manoeuvring slowly and rely on hand signals as they appear,Proceed carefully without engaging to avoid confusion,Continue cautiously while listening for instructions and adjusting if needed,A,Clear coordination during manoeuvres helps prevent damage and supports safe cooperation.,0.5,,0.5,"Semasa manuver perlahan untuk pemuatan di ruang sempit, seorang pekerja memberi panduan.",Berhenti seketika dan sesuaikan komunikasi dengan pekerja sebelum meneruskan,Teruskan manuver perlahan dan bergantung pada isyarat tangan yang diberi,Teruskan dengan berhati-hati tanpa berinteraksi untuk elakkan kekeliruan,Teruskan dengan berhati-hati sambil mendengar arahan dan melaras jika perlu,Koordinasi yang jelas semasa manuver membantu mencegah kerosakan dan menyokong kerjasama yang selamat.,7
"While moving through a busy site, you feel abnormal resistance and hear a new mechanical sound.",Continue moving slowly to clear the area,"Stop safely, assess the issue, and proceed only when clear",Adjust steering and throttle to maintain site flow,Complete the movement and report the issue afterward,B,Respond promptly to mechanical cues and ensure the area is safe before proceeding.,0.75,0.25,,"Semasa bergerak di tapak yang sibuk, anda merasakan rintangan tidak normal dan bunyi mekanikal baharu.",Terus bergerak perlahan untuk keluar dari kawasan itu,"Berhenti di tempat selamat, periksa keadaan, dan teruskan hanya apabila jelas selamat",Laraskan stereng dan pendikit untuk mengekalkan aliran pergerakan tapak,Selesaikan pergerakan dan laporkan masalah selepas itu,Bertindak segera terhadap tanda mekanikal dan pastikan kawasan selamat sebelum meneruskan.,7
"At a site gate, you notice a wheel chock and tool left unsecured on the vehicle before entry.",Enter the site and secure them at the first parking point,Secure the items before entering the site,Proceed inside since the items are not in use,Ask security to allow entry first,B,Securing loose equipment before entry prevents avoidable risks inside controlled areas.,0.25,0.5,0.25,"Di pintu masuk tapak, anda perasan pengadang tayar dan peralatan tidak diikat kemas pada kenderaan sebelum masuk.",Masuk tapak dan kemaskan di tempat parkir pertama,Kemaskan dahulu sebelum masuk tapak,Terus masuk kerana alat itu tidak digunakan,Minta kebenaran masuk daripada pengawal dahulu,Kemaskan peralatan sebelum masuk tapak untuk elakkan risiko.,7
A customer asks you to change delivery details on the paperwork.,Complete the paperwork accurately and explain the situation,Adjust the delivery details as requested by the customer,Leave the paperwork unchanged and submit it later,Submit the paperwork as requested without explanation,A,Accurate documentation ensures transparency and protects everyone involved.,,0.25,0.75,Seorang pelanggan meminta anda mengubah butiran penghantaran dalam dokumen.,Lengkapkan dokumen dengan tepat dan jelaskan keadaan sebenar,Ubah butiran penghantaran seperti diminta,Biarkan dokumen seperti itu dan serahkan kemudian,Serahkan dokumen seperti diminta tanpa penjelasan,Dokumentasi yang tepat memastikan ketelusan dan melindungi semua pihak.,7
"During unloading, a tense exchange with site staff starts attracting attention from people nearby.",Keep your tone calm and behaviour professional,Explain your actions in detail so observers understand your position,Continue the task while limiting further interaction,Justify your response to avoid appearing at fault,A,"Maintaining calm, professional behaviour protects your image when situations draw public attention.",,0.25,0.75,"Semasa proses memunggah, perbualan tegang dengan kakitangan tapak mula menarik perhatian orang di sekeliling.",Kekalkan nada tenang dan tingkah laku profesional,Terangkan tindakan anda dengan terperinci supaya orang lain faham,Teruskan tugas sambil hadkan interaksi lanjut,Jelaskan respons anda untuk elak kelihatan bersalah,Kekalkan sikap tenang dan profesional apabila situasi menarik perhatian orang ramai.,7
"During a delivery, a customer explains that a small personal gift is customary in their culture.",Decline respectfully and continue with the delivery as planned,Accept briefly to avoid appearing disrespectful,Delay responding and see how others handle it,Explain carefully why such gifts can cause problems,A,Respecting culture does not require accepting gifts that compromise integrity.,,0.25,0.75,"Semasa penghantaran, seorang pelanggan menjelaskan bahawa pemberian kecil peribadi adalah amalan dalam budayanya.",Tolak dengan hormat dan teruskan penghantaran seperti dirancang,Terima seketika supaya tidak kelihatan tidak hormat,Tangguhkan respons dan lihat bagaimana orang lain bertindak,Terangkan dengan teliti mengapa pemberian itu boleh menimbulkan isu,Menghormati budaya tidak bermaksud menerima pemberian yang boleh menjejaskan integriti.,7
You approach a road section with temporary cones where pedestrians are crossing near your lane.,Maintain correct lane position and proceed cautiously past the area,Move closer to the lane edge to pass through more quickly,Adjust position to follow vehicles ahead without slowing,Focus on traffic flow and avoid reacting to people nearby,A,Maintaining lane discipline and caution protects pedestrians and reflects responsible public conduct.,0.5,,0.5,Anda menghampiri laluan yang dipasang kon sementara dengan pejalan kaki melintas berhampiran lorong anda.,Kekalkan kedudukan lorong yang betul dan pandu dengan berhati-hati melalui kawasan tersebut,Rapat ke tepi lorong untuk melepasi kawasan dengan lebih cepat,Laraskan kedudukan mengikut kenderaan di hadapan tanpa memperlahankan,Fokus pada aliran trafik dan abaikan orang di sekitar,Disiplin lorong dan pemanduan berhati-hati melindungi pejalan kaki serta mencerminkan sikap bertanggungjawab di tempat awam.,7
You prepare to merge into a moving lane when another driver accelerates and blocks the available gap.,Hold back and wait for a clearer gap,Force the merge to assert your position,Move closer to pressure the other driver to yield,Gesture briefly to signal dissatisfaction,A,Waiting for a safe gap and avoiding confrontation reduces risk and prevents unnecessary conflict.,0.5,,0.5,Anda bersedia untuk masuk ke lorong yang sedang bergerak apabila seorang pemandu lain memecut dan menutup ruang yang ada.,Tahan dan tunggu ruang yang lebih jelas serta selamat,Paksa masuk untuk mempertahankan kedudukan anda,Rapatkan kenderaan untuk memberi tekanan supaya pemandu lain mengalah,Buat isyarat ringkas tanda tidak puas hati,Menunggu ruang yang selamat dan mengelakkan konfrontasi membantu mengurangkan risiko serta ketegangan di jalan raya.,7
You have completed 8 hours of driving for the day and one nearby delivery remains.,Continue driving to complete the final delivery.,Stop driving and report reaching the daily limit.,Drive for another 30 minutes before stopping.,Reduce speed and complete the delivery carefully.,B,Follow driving hour limits to maintain safety and compliance.,0.5,0.5,,Anda telah memandu selama 8 jam pada hari itu dan satu penghantaran berhampiran masih belum selesai.,Terus memandu untuk menyelesaikan penghantaran terakhir.,Hentikan pemanduan dan laporkan bahawa had harian telah dicapai.,Memandu lagi selama 30 minit sebelum berhenti.,Kurangkan kelajuan dan selesaikan penghantaran dengan berhati-hati.,Patuhi had waktu pemanduan untuk menjaga keselamatan dan pematuhan.,7
You have worked six consecutive days and are scheduled for another duty.,Continue working if you feel fit.,Take one rest day after six working days.,Work half a day before taking leave.,Swap shifts without taking a rest day.,B,Take the required rest day after six consecutive working days.,0.5,0,0,Anda telah bekerja selama enam hari berturut-turut dan dijadualkan untuk bertugas lagi.,Terus bekerja jika anda berasa cergas.,Ambil satu hari rehat selepas enam hari bekerja.,Bekerja separuh hari sebelum mengambil cuti.,Tukar syif tanpa mengambil hari rehat.,Ambil hari rehat yang ditetapkan selepas bekerja enam hari berturut-turut.,7
Your goods vehicle is experiencing failure on a highway and you are placing a warning triangle.,Place it a few metres behind the vehicle for quick visibility.,Place it about 50 metres to the rear of the vehicle.,Place it beside the vehicle near the shoulder.,Hold it while standing near traffic to alert drivers.,B,Position warning devices at a safe rear distance to alert approaching traffic early.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan di lebuh raya dan anda sedang meletakkan segi tiga amaran.,Letakkan beberapa meter di belakang kenderaan supaya mudah dilihat dengan cepat.,Letakkan kira-kira 50 meter di belakang kenderaan.,Letakkan di sisi kenderaan berhampiran bahu jalan.,Pegang sambil berdiri berhampiran trafik untuk memberi amaran.,Letakkan alat amaran pada jarak selamat di belakang kenderaan untuk memberi amaran awal kepada trafik yang menghampiri.,7
You check the vehicle and the warning triangle is missing.,Continue driving if hazard lights are working.,Replace the safety triangle before departure.,Borrow one only when needed.,Use cones instead of a triangle.,B,Carry the required warning triangle before operating.,0,1,0,Anda memeriksa kenderaan dan mendapati segi tiga amaran tiada.,Terus memandu jika lampu kecemasan berfungsi.,Gantikan segi tiga amaran sebelum memulakan perjalanan.,Pinjam satu hanya apabila diperlukan.,Gunakan kon sebagai ganti segi tiga amaran.,Bawa segi tiga amaran yang diperlukan sebelum mengendalikan kenderaan.,7
"During inspection, you check the engine system before departure.",Skip the check if the engine started normally.,Verify the engine system as part of the safety inspection.,Check only when warning lights appear.,Inspect the engine only during scheduled servicing.,B,Include engine system checks in daily safety inspections.,0.5,0,0.5,"Semasa pemeriksaan, anda memeriksa sistem enjin sebelum memulakan perjalanan.",Abaikan pemeriksaan jika enjin dapat dihidupkan seperti biasa.,Sahkan sistem enjin sebagai sebahagian daripada pemeriksaan keselamatan.,Periksa hanya apabila lampu amaran menyala.,Periksa enjin hanya semasa servis berjadual.,Periksa sistem enjin setiap hari sebagai sebahagian daripada pemeriksaan keselamatan.,7
You are starting and completing a delivery trip.,Record the meter reading only at the end of the trip.,Record the meter reading before and after the trip.,Record it only if fuel usage seems unusual.,Estimate the reading based on distance travelled.,B,Record meter readings before and after each trip.,0.5,0,0.5,Anda memulakan dan menamatkan satu perjalanan penghantaran.,Catat bacaan meter hanya pada akhir perjalanan.,Catat bacaan meter sebelum dan selepas perjalanan.,Catat hanya jika penggunaan bahan api kelihatan luar biasa.,Anggarkan bacaan berdasarkan jarak perjalanan.,Catat bacaan meter sebelum dan selepas setiap perjalanan.,7
"Before departure, you review the prime mover and trailer documents. One document has expired.",Proceed if the other documents are still valid.,Inform operations and do not operate until resolved.,Continue the trip and update after delivery.,Drive and renew the document at the next service.,B,Do not operate if required vehicle documents have expired and inform operations immediately.,0,1,0,"Sebelum memulakan perjalanan, anda menyemak dokumen kepala lori dan treler. Salah satu dokumen telah tamat tempoh.",Teruskan perjalanan jika dokumen lain masih sah.,Maklumkan bahagian operasi dan jangan beroperasi sehingga diselesaikan.,Teruskan perjalanan dan kemas kini selepas penghantaran selesai.,Memandu dahulu dan perbaharui dokumen pada servis seterusnya.,Jangan beroperasi jika dokumen kenderaan yang diperlukan telah tamat tempoh dan maklumkan kepada bahagian operasi segera.,7
"Before exiting the port, you compare the seal number with the gate pass.",Proceed if the seal is intact.,Confirm the seal number matches the document.,Check the number only at delivery point.,Ignore minor number differences.,B,Verify that the seal number matches the documented record.,0.5,0,0.5,"Sebelum keluar dari pelabuhan, anda membandingkan nombor seal dengan maklumat pada gate pass.",Teruskan perjalanan jika seal kelihatan baik.,Pastikan nombor seal sepadan dengan dokumen.,Semak nombor hanya apabila tiba di lokasi penghantaran.,Abaikan perbezaan kecil pada nombor.,Pastikan nombor seal sepadan dengan rekod dalam dokumen sebelum berlepas.,7
You collect a container from a customer premise and notice exterior damage.,Record it internally and inform operations.,Inform the customer and proceed.,Continue if the container is sealed.,Deliver first and update later.,A,Record and report container damage before movement.,0.5,0,0.5,Anda mengambil sebuah kontena dari premis pelanggan dan mendapati terdapat kerosakan pada bahagian luarnya.,Catat dalam rekod dalaman dan maklumkan bahagian operasi.,Maklumkan pelanggan dan teruskan perjalanan.,Teruskan jika kontena telah dimeterai.,Hantar dahulu dan kemas kini kemudian.,Rekodkan dan laporkan kerosakan kontena sebelum meneruskan perjalanan.,7
You are uncertain about the extent of container or cargo damage.,Proceed cautiously and monitor during transit.,Seek operations approval before movement.,Inform the customer and continue.,Move the container to a nearby safe area first.,B,Do not move the container without operations approval when damage is unclear.,0.5,0,0.5,Anda tidak pasti tahap kerosakan pada kontena atau muatan di dalamnya.,Teruskan perjalanan dengan berhati-hati dan pantau semasa perjalanan.,Dapatkan kelulusan daripada bahagian operasi sebelum bergerak.,Maklumkan kepada pelanggan dan teruskan perjalanan.,Alihkan kontena ke kawasan selamat berhampiran terlebih dahulu.,Jangan gerakkan kontena tanpa kelulusan bahagian operasi apabila tahap kerosakan tidak jelas.,7
"While driving, a member of the public provokes you aggressively.",React quickly to assert your position.,Remain calm and report the incident.,Stop and confront the person.,Follow the person to clarify the issue.,B,Avoid impulsive actions and report the incident appropriately.,0,0,1,"Semasa memandu, seorang orang awam bertindak agresif dan memprovokasi anda.",Bertindak segera untuk mempertahankan pendirian anda.,Kekal tenang dan laporkan kejadian tersebut.,Berhenti dan bersemuka dengan individu tersebut.,Ikut individu tersebut untuk menjelaskan keadaan.,Kekal tenang dan laporkan kejadian dengan cara yang sesuai.,7
"While driving on a highway, you notice smoke coming from the trailer.",Stop at a safe roadside area without blocking traffic.,Continue slowly to reach the nearest rest area.,Stop immediately in the current lane.,Park close to nearby buildings for assistance.,A,Stop in a safe open area that does not obstruct traffic.,0.5,0,0.5,"Semasa memandu di lebuh raya, anda mendapati asap keluar dari treler.",Berhenti di kawasan tepi jalan yang selamat tanpa menghalang trafik.,Teruskan memandu perlahan untuk sampai ke kawasan rehat terdekat.,Berhenti serta-merta di lorong semasa.,Parkir berhampiran bangunan untuk mendapatkan bantuan.,Berhenti di kawasan terbuka yang selamat dan tidak menghalang trafik.,7
"After an accident, operations asks about injuries.",Confirm injuries to yourself and others involved.,Say everyone seems fine without checking.,Wait for medical staff to assess first.,Report injuries after confirmed by hospital.,A,Provide accurate injury status information promptly.,0.5,0,0.5,"Selepas kemalangan, bahagian operasi bertanya tentang kecederaan.",Sahkan kecederaan kepada diri sendiri dan pihak yang terlibat.,Maklumkan semua kelihatan baik tanpa membuat pemeriksaan.,Tunggu petugas perubatan membuat penilaian terlebih dahulu.,Laporkan kecederaan selepas disahkan oleh pihak hospital.,Berikan maklumat status kecederaan dengan tepat dan segera.,7
You prepare to change lanes in steady traffic. Motorcycles filter between lanes and traffic slows near an exit.,Signal early and complete full mirror checks before moving,Signal as you move and rely on others to adjust,Check mirrors quickly and move when the lane looks clear,Wait for traffic to stabilise before signalling,A,Signal early and complete full checks before changing lanes.,0.75,0.25,,Anda bersedia untuk menukar lorong dalam trafik lancar. Motosikal bergerak di antara lorong dan trafik perlahan berhampiran susur keluar.,Beri isyarat awal dan periksa cermin sepenuhnya sebelum bergerak,Beri isyarat semasa bergerak dan harap pemandu lain menyesuaikan diri,Periksa cermin dengan cepat dan bergerak apabila lorong kelihatan jelas,Tunggu trafik stabil sebelum memberi isyarat,Beri isyarat awal dan lakukan pemeriksaan penuh sebelum menukar lorong.,8
You drive inside a depot with marked lanes. Equipment operates nearby and stacked loads restrict visibility.,Keep to the marked lane and slow until movement is clear,Adjust position to see past the equipment,Continue moving so you do not block equipment behind,Proceed as usual and rely on operators,A,Keep lane discipline and reduce speed near operating equipment.,0.75,0.25,,Anda memandu di dalam depot dengan lorong bertanda. Jentera beroperasi berhampiran dan susunan muatan menghadkan pandangan.,Kekalkan lorong bertanda dan perlahankan sehingga pergerakan jelas,Sesuaikan kedudukan untuk melihat melepasi jentera,Terus bergerak supaya tidak menghalang jentera di belakang,Teruskan seperti biasa dan bergantung pada pengendali jentera,Amalkan disiplin lorong dan kurangkan kelajuan berhampiran peralatan beroperasi.,8
"At a container terminal, lifting operations are in progress. Vehicles and personnel move nearby.",Keep clear of the lifting zone until the operation ends,Move closer to observe the lift and prepare to move,Wait nearby and approach when the container is almost down,Move forward carefully to avoid delaying trucks behind,A,Stay clear of lifting zones to avoid sudden movement and falling objects.,0.75,0.25,,"Di terminal kontena, operasi mengangkat kontena sedang dijalankan. Kenderaan dan pekerja bergerak berhampiran.",Jauhi zon pengangkatan sehingga operasi selesai,Bergerak lebih dekat untuk memerhati operasi pengangkatan dan bersedia bergerak,Tunggu berhampiran dan hampiri apabila kontena hampir diturunkan,Bergerak ke hadapan dengan berhati-hati supaya tidak melambatkan lori di belakang,Kekalkan jarak dari zon pengangkatan untuk elakkan pergerakan mengejut dan risiko objek jatuh.,8
"You approach an industrial access road. Surfaces are uneven, obstructions present, and visibility is reduced.",Reduce speed early and adjust your path for hazards,Maintain a cautious pace and react if conditions worsen,Proceed steadily while focusing on the access route,Follow the vehicle ahead navigating the area,A,Adjust early to surface and visibility risks to maintain control.,1,,,"Anda menghampiri laluan masuk kawasan industri. Permukaan jalan tidak rata, terdapat halangan, dan pandangan terhad.",Kurangkan kelajuan lebih awal dan sesuaikan laluan untuk elakkan bahaya,Kekalkan kelajuan berhati-hati dan bertindak jika keadaan bertambah buruk,Terus bergerak secara stabil sambil fokus pada laluan utama,Ikut kenderaan di hadapan yang melalui kawasan itu,Sesuaikan pemanduan lebih awal terhadap risiko permukaan dan pandangan untuk kekalkan kawalan kenderaan.,8
You prepare to park and deploy trailer landing legs on uneven ground.,Stop and ensure the ground is stable before deploying,Deploy slowly and monitor for sinking,Proceed as usual since the area is commonly used,Rely on visual checks and adjust if movement appears,A,Assess ground stability before deploying landing legs.,,0.5,0.5,Anda bersedia untuk parkir dan menurunkan kaki sokongan treler di permukaan tidak rata.,Berhenti dan pastikan permukaan stabil sebelum menurunkan kaki sokongan treler,Turunkan secara perlahan dan pantau jika berlaku mendapan,Teruskan seperti biasa kerana kawasan tersebut biasa digunakan,Bergantung pada pemeriksaan visual dan pelarasan jika pergerakan berlaku,Periksa kestabilan permukaan sebelum menurunkan kaki sokongan treler.,8
"At a container terminal, lifting operations are in progress and you enter a marked lifting zone without a safety helmet.",Put on the required PPE and remain clear of lifting,Stay where you are since equipment is not moving toward you,Move quickly through the area to minimise time,Wait for terminal staff instructions before addressing PPE,A,Wear required PPE and keep clear of lifting zones.,0.5,0.5,,"Di terminal kontena, operasi pengangkatan kontena sedang dijalankan dan anda memasuki zon pengangkatan tanpa topi keselamatan.",Pakai PPE yang diperlukan dan kekal jauh dari operasi loading,Kekal di tempat kerana jentera tidak bergerak ke arah anda,Bergerak cepat melalui kawasan itu untuk kurangkan masa,Tunggu arahan kakitangan terminal sebelum mengurus PPE,Pakai PPE yang diperlukan dan kekalkan jarak dari zon loading.,8
"While reversing to park, your phone receives a message.",Ignore the message and complete the manoeuvre,Pause and check the message before continuing,Continue reversing while glancing at the phone,Stop midway and respond to the message,A,Avoid device use during manoeuvres.,0.75,0.25,,"Semasa mengundur untuk parkir, telefon anda menerima mesej.",Abaikan mesej dan selesaikan manuver,Berhenti seketika dan periksa mesej sebelum meneruskan,Terus mengundur sambil melihat telefon,Berhenti di tengah dan balas mesej,Elakkan penggunaan telefon semasa manuver.,8
"After completing your trip, you notice a minor defect that developed during the drive.",Report the defect and ensure the vehicle is checked before reuse,Note the defect later since the trip is completed,Mention it informally to the next driver,Leave the vehicle available since it still operates,A,Report defects promptly to prevent risk in the next operation.,0.25,0.75,,"Selepas selesai perjalanan, anda mendapati kerosakan kecil berlaku semasa memandu.",Laporkan kerosakan dan pastikan kenderaan diperiksa sebelum digunakan semula,Catat kerosakan kemudian kerana perjalanan telah selesai,Beritahu secara tidak rasmi kepada pemandu seterusnya,Biarkan kenderaan digunakan kerana masih boleh beroperasi,Laporkan kerosakan dengan segera untuk mengelakkan risiko dalam operasi seterusnya.,8
"After a trip, you identify a minor defect before completing the handover documentation.",Record the defect accurately and submit the documentation,Submit the documentation first and update the defect record later,Delay recording the defect until the next scheduled inspection,Note the defect informally and proceed with documentation,A,Defects must be formally recorded to ensure proper documentation and accountability.,,0.75,0.25,"Selepas tamat perjalanan, anda mengesan kerosakan kecil sebelum melengkapkan dokumentasi serahan kenderaan.",Rekodkan kerosakan dengan tepat dan serahkan dokumentasi,Serahkan dokumentasi dahulu dan kemas kini rekod kerosakan kemudian,Tangguhkan merekod kerosakan sehingga pemeriksaan seterusnya,Catat kerosakan secara tidak rasmi dan teruskan dokumentasi,kerosakan mesti direkod secara rasmi untuk memastikan dokumentasi dan akauntabiliti yang betul.,8
